,Subject_num,Subject_origin,Subject_residence,Mu,Regime,Average_degree,Betweenness,Closeness,Load centrality,Assortativity,Clustering,Number_components,Size_largest_component,Closeness_residence,Number_residence,Closeness_origin,Number_origin,SEX,AGE,BORN,DAD,MOM,MARR,CHILD,CBORN,CMOM,EMP,EDUC,FMIG,TVIS,VEU,SPAN,NLAN,SASS,HASS,HMUS,SMUS,HTV,STV,SMOV,HMOV,NREA,RSPA,WNAT,WSPA,TSPA,TNAT,CHOM,CSPA,FID,MID,FGRO,FSPA,HCOO,NSPA,FHOM,IANG,IHYP,ISPA,SMON,WREC,BNEW,HEA,SMOK,TALL,KILO,VDOC,DEP1,DEP2,DEP3,DEP4,DEP5,DEP6,DEP7,HEAL,RACE,PAP,DEP,REAS,RACM,SGOO,RELG,ASEX01N,ASEX01P,ASEX02N,ASEX02P,ASEXN8N,ASEXN8P,ASEXN9N,ASEXN9P,ARAC01N,ARAC01P,ARAC02N,ARAC02P,ARAC03N,ARAC03P,ARAC04N,ARAC04P,AOL201N,AOL201P,AOL202N,AOL202P,AOL203N,AOL203P,AOL204N,AOL204P,AOL205N,AOL205P,AOL206N,AOL206P,AOL207N,AOL207P,AOL208N,AOL208P,AOL209N,AOL209P,AOL210N,AOL210P,AOL2N8N,AOL2N8P,AOL2N9N,AOL2N9P,ATIM_MN,ATIM_SD,CLOS01N,CLOS01P,CLOS02N,CLOS02P,CLOS03N,CLOS03P,CLOS04N,CLOS04P,CLOS05N,CLOS05P,AFRM01N,AFRM01P,AFRM02N,AFRM02P,AFRM03N,AFRM03P,AFRM04N,AFRM04P,AFRM05N,AFRM05P,AFRM06N,AFRM06P,AFRM07N,AFRM07P,AFRM08N,AFRM08P,AFRM09N,AFRM09P,AFRM10N,AFRM10P,AFRM11N,AFRM11P,AFRMN8N,AFRMN8P,AFRMN9N,AFRMN9P,AFRQ01N,AFRQ01P,AFRQ02N,AFRQ02P,AFRQ03N,AFRQ03P,AFRQ04N,AFRQ04P,AFRQ05N,AFRQ05P,AFRQ06N,AFRQ06P,AFRQ07N,AFRQ07P,AREL01N,AREL01P,AREL02N,AREL02P,AREL03N,AREL03P,AREL04N,AREL04P,AREL05N,AREL05P,AREL06N,AREL06P,AREL07N,AREL07P,AREL08N,AREL08P,AREL09N,AREL09P,AREL10N,AREL10P,AREL11N,AREL11P,AREL12N,AREL12P,AREL13N,AREL13P,ALIV01N,ALIV01P,ALIV02N,ALIV02P,ALIV03N,ALIV03P,ALIV04N,ALIV04P,ALIV05N,ALIV05P,ALIV06N,ALIV06P,ALIV07N,ALIV07P,ACITN8N,ACITN8P,ACITN9N,ACITN9P,APRO01N,APRO01P,APRO02N,APRO02P,ASMO01N,ASMO01P,ASMO02N,ASMO02P,TIEDCA,TIEDCM,TIECCA,TIECCM,TIEBCA,TIEBCM,TIEISO,TIEDYD,TIECMP,TIEDEN,TIEDC,TIECC,TIEBC,TIECND,TIECCZ,DSET,COUNTRY,SCALEV,SCALEA,NEI1,NEI2,NEI3,NEI4,NEI5,NEI6,NEI7,NEI8,NEI9,NE10,NE11,NE12,APRON8N,APRON8P,APRON9N,APRON9P,ASMO03N,ASMO03P,ASMO04N,ASMO04P,SPOUS,CYEAR,LVIS,LANG,HMON,GSPE,EXER,NDOC,OMED,WOR1,WOR2,WOR3,CHNG,TRAN,TRN2,ACON01N,ACON01P,ACON02N,ACON02P,ACON03N,ACON03P,ACON04N,ACON04P,ACON05N,ACON05P,ACONN8N,ACONN8P,ACONN9N,ACONN9P,AHLP01N,AHLP01P,AHLP02N,AHLP02P,AHLPN8N,AHLPN8P,AHLPN9N,AHLPN9P,CLOSN8N,CLOSN8P,CLOSN9N,CLOSN9P,AFRQN8N,AFRQN8P,AFRQN9N,AFRQN9P,ARELN8N,ARELN8P,ARELN9N,ARELN9P,NBORN,NMOM,NDAD,SPA2,ACOUNTRY,ICOM,IETH,ICUB,AFRM12N,AFRM12P,ALIV08N,ALIV08P,ALIV09N,ALIV09P,ALIV11N,ALIV11P,ALIV12N,ALIV12P,APRO00N,APRO00P,ASMO00N,ASMO00P,CANY,SPENJ,IGRP,AFRM13N,AFRM13P,ALIV10N,ALIV10P,ALIV13N,ALIV13P,TIEQ,SPANISH,HEAL2,SCLAEA,GROUP,SMOKE,DEPRESS,YDOC,FIRSTGEN,STRONG,SEEWEEK,FAMILY,ABOVE50,DOMINICA,WHITE,NEVMAR,EMPLOY,EDUCATIO,ASMOKE,MOS,AOS,ACCULTUR,ALEVEL,FMIG2
0,1,co,usa,-0.180268086799136,Unclear,34.7111111111111,0.004909560723514,0.839867722693999,0.004909560723514,-0.204603237772775,0.780457079504859,1,1,3.81818181818182,11,2.35714285714286,14,1,26,4,2,4,1,0,,3,1,4,1.64051357977013E-303,0,0,3,3,3,5,5,3,5,2,5,5,5,3,5,3,3,5,5,5,2,5,5,1,5,3,5,1,1,1,2,6,2,1,3,6,1.64051357976955E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,2,4,2,1,2,26,0.57778,19,0.42222,,,,,19,0.42222,11,0.24444,15,0.33333,0,0,0,0,13,0.28889,29,0.64444,3,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,13,0.28889,23,0.51111,6,0.13333,3,0.06667,0,0,11,0.24444,14,0.31111,0,0,0,0,5,0.11111,0,0,0,0,0,0,1,0.02222,0,0,,,,,7,0.15556,12,0.26667,23,0.51111,2,0.04444,1,0.02222,0,0,0,0,2,0.04444,11,0.24444,9,0.2,0,0,3,0.06667,0,0,3,0.06667,1,0.02222,0,0,0,0,7,0.15556,2,0.04444,7,0.15556,0,0,32,0.71111,6,0.13333,0,0,1,0.02222,2,0.04444,0,0,,,,,28,0.62222,17,0.37778,32,0.71111,12,0.26667,59.69697,98,72.58,97.78,0.96,3.17,0,0,1,0.59697,42.17759,52.13923,2.26265,23,0.73,rc2ce,,,,,2,3,3,,,,,,,,,,,,,,,,,1,0.02222,0,0,-99,-99,1.64051357977013E-303,,5,20,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,10,0.22222,16,0.35556,9,0.2,1,0.02222,9,0.2,,,,,33,0.73333,12,0.26667,,,,,,,,,,,,,,,,,9,9,6,,us,,,,,,,14,0.31111,0,0,0,0,0,0
45,2,co,usa,0.134373530807206,Unclear,6.4,0.017406624383369,0.185889827657368,0.017406624383369,0.487843601158049,0.561506120448336,3,0.6,3.625,8,3.05555555555556,18,1,25,1,4,6,1,0,,1,2,3,1.64051357977013E-303,1,1,4,4,3,4,4,3,2,3,5,2,3,3,3,3,3,4,4,4,5,1,4,3,2,4,3,1,4,3,1,-99,-99,1,1,68,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,1,2,1,,3,1,-99,4,3,0,2,25,0.55556,20,0.44444,,,,,17,0.37778,1,0.02222,27,0.6,0,0,0,0,5,0.11111,31,0.68889,2,0.04444,2,0.04444,4,0.08889,1,0.02222,0,0,0,0,0,0,,,,,,,3,0.06667,22,0.48889,16,0.35556,4,0.08889,0,0,0,0,8,0.17778,0,0,0,0,0,0,7,0.15556,0,0,0,0,0,0,2,0.04444,9,0.2,,,,,4,0.08889,14,0.31111,8,0.17778,3,0.06667,1,0.02222,1,0.02222,14,0.31111,0,0,7,0.15556,1,0.02222,8,0.17778,3,0.06667,0,0,0,0,0,0,7,0.15556,1,0.02222,10,0.22222,7,0.15556,1,0.02222,0,0,33,0.73333,0,0,0,0,0,0,0,0,0,0,,,,,25,0.55556,20,0.44444,23,0.51111,4,0.08889,7.27273,23,566.18,4000,0.27,3.31,4,1,5,0.07273,95.89744,7438.77945,3.11751,2,0.88,rc1cs,,,,,2,3,3,,,,,,,,,,,,,,,,,9,0.2,9,0.2,-99,-99,1.64051357977013E-303,,-99,0,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,30,0.66667,1,0.02222,0,0,11,0.24444,3,0.06667,,,,,17,0.37778,28,0.62222,,,,,,,,,,,,,,,,,2,14,9,,us,,,,,,,18,0.4,0,0,0,0,2,0
90,4,co,usa,-0.59911630158026,Inverted,26.8444444444444,0.009067418369744,0.732294450499184,0.009067418369744,-0.159681401627551,0.631737496432709,1,1,1.22222222222222,9,2.09090909090909,33,1,21,4,4,4,1,0,,3,3,3,1.64051357977013E-303,1,0,5,4,5,4,4,4,2,5,4,5,3,3,3,4,5,5,4,4,4,4,4,3,4,3,3,3,3,1,1,-99,-99,1,1,69,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,-99,4,1,0,1,26,0.57778,19,0.42222,,,,,21,0.46667,0,0,24,0.53333,0,0,0,0,12,0.26667,25,0.55556,0,0,2,0.04444,5,0.11111,1,0.02222,0,0,0,0,0,0,,,,,,,0,0,1,0.02222,6,0.13333,17,0.37778,21,0.46667,0,0,9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02222,1,0.02222,,,,,20,0.44444,2,0.04444,0,0,3,0.06667,0,0,0,0,20,0.44444,1,0.02222,12,0.26667,0,0,0,0,0,0,0,0,1,0.02222,0,0,0,0,0,0,12,0.26667,18,0.4,0,0,0,0,25,0.55556,0,0,0,0,0,0,0,0,0,0,,,,,20,0.44444,25,0.55556,44,0.97778,1,0.02222,36.76768,91,60.93,91.67,1.58,12.82,0,0,1,0.36768,66.17336,63.60594,11.49595,13,0.67,rc2ce,,,,,2,5,4,,,,,,,,,,,,,,,,,0,0,0,0,-99,-99,1.64051357977013E-303,,-99,0,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,22,0.48889,11,0.24444,0,0,12,0.26667,0,0,,,,,31,0.68889,14,0.31111,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,33,0.73333,0,0,0,0,0,0
135,5,co,usa,-0.168712949128145,Unclear,13.1363636363636,0.017542534984396,0.587923442424034,0.017542534984396,-0.3964645941272,0.575368554031626,1,1,2.51612903225806,31,0,0,1,49,4,4,4,5,0,,4,5,3,1.64051357977012E-303,0,1,4,4,3,4,5,3,5,3,3,5,5,3,4,3,3,5,4,5,5,5,5,2,5,3,4,2,5,2,2,6,2,2,1,58,1.64051357976953E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,4,1,2,4,2,1,2,25,0.55556,20,0.44444,,,,,28,0.62222,1,0.02222,8,0.17778,8,0.17778,0,0,2,0.04444,1,0.02222,13,0.28889,12,0.26667,10,0.22222,7,0.15556,0,0,0,0,0,0,,,,,,,0,0,6,0.13333,5,0.11111,26,0.57778,8,0.17778,10,0.22222,31,0.68889,0,0,0,0,0,0,3,0.06667,1,0.02222,0,0,0,0,0,0,0,0,,,,,6,0.13333,3,0.06667,11,0.24444,6,0.13333,7,0.15556,5,0.11111,5,0.11111,0,0,11,0.24444,25,0.55556,2,0.04444,0,0,0,0,0,0,0,0,7,0.15556,0,0,0,0,0,0,0,0,2,0.04444,42,0.93333,0,0,0,0,0,0,1,0.02222,0,0,,,,,21,0.46667,24,0.53333,40,0.88889,1,0.02222,28.9899,70,57.09,78.18,1.67,11.93,1,0,1,0.2899,72.97896,43.76001,10.4721,15,0.85,rdcs,,,,,,2,5,3,,,,,,,,,,,,,,,,,4,0.08889,0,0,1,-99,1.64051357977013E-303,,5,1.64051357976955E-303,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,12,0.26667,30,0.66667,2,0.04444,0,0,1,0.02222,,,,,34,0.75556,11,0.24444,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,0,0,0,0,0,0,0
180,6,co,usa,0.011111705584205,Unclear,7.14285714285714,0.037833914053426,0.419789063274887,0.037833914053426,-0.053828519333083,0.426255128369871,1,1,3.3,20,2.72727272727273,22,1,32,4,4,4,3,1,1,1,1,4,1.64051357977013E-303,0,0,5,4,5,5,5,4,3,4,5,5,5,5,5,4,5,4,4,4,5,5,5,1,5,4,4,4,4,3,3,2,1,2,1,56,1.64051357976953E-303,1.64051357977013E-303,1,1,1,1,1,1,1,,4,1,1,1,1,1,2,31,0.68889,14,0.31111,,,,,16,0.35556,1,0.02222,0,0,28,0.62222,0,0,1,0.02222,15,0.33333,13,0.28889,5,0.11111,8,0.17778,2,0.04444,1,0.02222,0,0,0,0,,,,,,,1,0.02222,20,0.44444,7,0.15556,10,0.22222,7,0.15556,0,0,20,0.44444,0,0,1,0.02222,0,0,1,0.02222,0,0,0,0,0,0,0,0,0,0,,,,,16,0.35556,9,0.2,4,0.08889,5,0.11111,5,0.11111,5,0.11111,1,0.02222,1,0.02222,10,0.22222,1,0.02222,3,0.06667,8,0.17778,1,0.02222,2,0.04444,0,0,0,0,2,0.04444,3,0.06667,6,0.13333,8,0.17778,0,0,31,0.68889,0,0,0,0,0,0,0,0,0,0,,,,,21,0.46667,24,0.53333,40,0.88889,4,0.08889,5.35354,39,255.74,2900,0.94,19.47,15,1,2,0.05354,94.08867,5629.48303,18.84305,1,0.92,rc2ce,,,,,2,4,4,,,,,,,,,,,,,,,,,1,0.02222,0,0,1,1.64051358176143E-303,1.64051357977013E-303,,5,1.64051357976956E-303,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,25,0.55556,13,0.28889,0,0,5,0.11111,2,0.04444,,,,,24,0.53333,21,0.46667,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,22,0.48889,0,0,0,0,0,0
225,7,co,usa,0.157214973253667,Unclear,5.55555555555556,0.07843137254902,0.479825868980099,0.07843137254902,-0.037334480615709,0.480291005291005,1,1,4,1,3.26315789473684,38,1,45,4,4,4,4,0,,3,5,2,1.64051357977012E-303,5,0,3,5,4,5,4,5,4,5,3,3,5,3,5,3,5,4,4,4,4,4,4,1,4,3,5,1,1,1,2,4,1,2,1,66,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,1,1,3,,1,1,2,4,2,5,2,30,0.66667,15,0.33333,,,,,36,0.8,0,0,8,0.17778,1,0.02222,0,0,0,0,5,0.11111,18,0.4,14,0.31111,6,0.13333,2,0.04444,0,0,0,0,0,0,,,,,,,0,0,28,0.62222,4,0.08889,8,0.17778,5,0.11111,0,0,1,0.02222,0,0,0,0,0,0,1,0.02222,0,0,2,0.04444,0,0,0,0,3,0.06667,,,,,6,0.13333,2,0.04444,1,0.02222,2,0.04444,7,0.15556,8,0.17778,19,0.42222,0,0,13,0.28889,0,0,1,0.02222,0,0,0,0,0,0,0,0,0,0,22,0.48889,0,0,8,0.17778,1,0.02222,0,0,39,0.86667,0,0,0,0,0,0,0,0,0,0,,,,,21,0.46667,24,0.53333,42,0.93333,0,0,4.94949,27,18.65,69.57,0.38,4.12,28,0,1,0.04949,72.5,119.8633,3.83853,0,0.9,rc2ce,,,,,2,1,3,,,,,,,,,,,,,,,,,1,0.02222,2,0.04444,4,-99,1.64051357977013E-303,,1,1.64051357976958E-303,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,6,0.13333,39,0.86667,0,0,0,0,0,0,,,,,7,0.15556,38,0.84444,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,38,0.84444,0,0,0,0,0,0
270,8,co,usa,-0.20356747635019,Unclear,10.2564102564103,0.037567932304775,0.442169319275326,0.037567932304775,0.490316727243777,0.723873161980579,1,1,2.5,10,2.60606060606061,33,1,56,4,4,4,1,0,,4,4,2,1.64051357977012E-303,0,0,3,4,3,3,4,4,1,4,5,2,4,3,5,1,3,5,3,5,5,5,5,1,5,2,3,1,3,5,2,4,2,2,4,66,147,1.64051357977013E-303,2,2,3,3,4,2,2,,1,1,2,4,3,2,2,14,0.31111,31,0.68889,,,,,42,0.93333,1,0.02222,2,0.04444,0,0,0,0,1,0.02222,2,0.04444,6,0.13333,16,0.35556,10,0.22222,2,0.04444,5,0.11111,2,0.04444,0,0,,,,,,,0,0,2,0.04444,16,0.35556,25,0.55556,2,0.04444,0,0,10,0.22222,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02222,0,0,1,0.02222,,,,,2,0.04444,5,0.11111,6,0.13333,11,0.24444,9,0.2,9,0.2,3,0.06667,0,0,17,0.37778,0,0,0,0,0,0,0,0,12,0.26667,0,0,1,0.02222,3,0.06667,0,0,3,0.06667,9,0.2,0,0,26,0.57778,0,0,0,0,0,0,0,0,0,0,,,,,26,0.57778,19,0.42222,27,0.6,3,0.06667,20.20202,52,38.32,65.52,2.42,17.58,6,0,1,0.20202,76.9559,53.96868,15.28478,14,0.84,rc2ce,,,,,2,4,3,,,,,,,,,,,,,,,,,7,0.15556,7,0.15556,-99,-99,1.64051357977013E-303,,5,0,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19,0.42222,26,0.57778,0,0,0,0,0,0,,,,,27,0.6,18,0.4,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,33,0.73333,0,0,0,0,0,0
315,9,co,usa,-0.066795464798237,Unclear,12.8444444444444,0.023020906741837,0.5154228791141,0.023020906741837,-0.158827976770312,0.755037104258267,1,1,2.85,20,2.78571428571429,14,1,49,4,4,4,5,0,,9,3,4,1.64051357977012E-303,0,0,3,3,5,4,3,4,2,5,5,2,2,3,1,1,4,3,2,5,5,5,1,3,4,4,2,1,5,1,1,-99,-99,2,1,64,135,1.64051357977013E-303,1,1,1,1,1,1,1,,3,1,-99,1,2,0,2,27,0.6,18,0.4,,,,,19,0.42222,5,0.11111,19,0.42222,2,0.04444,0,0,2,0.04444,1,0.02222,1,0.02222,14,0.31111,21,0.46667,4,0.08889,1,0.02222,1,0.02222,0,0,,,,,,,1,0.02222,10,0.22222,2,0.04444,24,0.53333,8,0.17778,0,0,20,0.44444,0,0,0,0,0,0,1,0.02222,3,0.06667,0,0,0,0,4,0.08889,3,0.06667,,,,,13,0.28889,22,0.48889,2,0.04444,2,0.04444,5,0.11111,1,0.02222,0,0,0,0,15,0.33333,0,0,2,0.04444,0,0,1,0.02222,2,0.04444,0,0,20,0.44444,1,0.02222,0,0,1,0.02222,3,0.06667,0,0,45,1,0,0,0,0,0,0,0,0,0,0,,,,,31,0.68889,14,0.31111,33,0.73333,2,0.04444,29.19192,68,51.54,75.86,2.3,40.16,0,0,1,0.29192,74.10148,50.32344,38.717,11,0.61,rccs,,,,,,2,4,4,,,,,,,,,,,,,,,,,0,0,10,0.22222,1,-99,1.64051357977013E-303,,-99,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19,0.42222,26,0.57778,0,0,0,0,0,0,,,,,18,0.4,27,0.6,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,14,0.31111,0,0,0,0,0
360,10,co,usa,-0.011111705584265,Unclear,33.8636363636364,0.005058894593778,0.828039809344041,0.005058894593778,-0.024450147866227,0.644311068147097,1,1,3.14285714285714,7,2.87878787878788,33,2,23,4,4,4,1,0,,2,2,4,1.64051357977013E-303,1,0,4,5,3,5,5,5,5,3,3,4,5,3,5,2,3,5,4,4,5,5,5,2,5,2,5,4,4,2,2,2,1,2,1,5,140,1.64051357977013E-303,2,1,3,1,2,1,1,,4,2,1,2,2,1,2,22,0.48889,23,0.51111,,,,,4,0.08889,3,0.06667,2,0.04444,36,0.8,3,0.06667,2,0.04444,13,0.28889,15,0.33333,5,0.11111,4,0.08889,2,0.04444,1,0.02222,0,0,0,0,,,,,,,7,0.15556,8,0.17778,17,0.37778,10,0.22222,3,0.06667,0,0,7,0.15556,0,0,0,0,0,0,0,0,0,0,1,0.02222,0,0,0,0,2,0.04444,,,,,6,0.13333,6,0.13333,6,0.13333,4,0.08889,8,0.17778,7,0.15556,8,0.17778,0,0,9,0.2,0,0,0,0,6,0.13333,0,0,0,0,0,0,2,0.04444,2,0.04444,4,0.08889,7,0.15556,15,0.33333,1,0.02222,33,0.73333,0,0,0,0,0,0,0,0,0,0,,,,,22,0.48889,23,0.51111,20,0.44444,10,0.22222,37.27273,61,61.6,72.13,1.46,4.59,0,0,1,0.37273,65.64482,21.78674,3.20485,8,0.36,rc1cs,,,,,2,4,4,,,,,,,,,,,,,,,,,9,0.2,6,0.13333,-99,-99,1.64051357977013E-303,,5,50,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,17,0.37778,19,0.42222,0,0,2,0.04444,7,0.15556,,,,,23,0.51111,22,0.48889,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,33,0.73333,0,0,0,0,0,0
405,11,co,usa,0.727069562631529,Standard,4.64864864864865,0.029086229086229,0.203733642521988,0.029086229086229,-0.245211921610515,0.686174636174636,2,0.675675675675676,5,4,3.86666666666667,30,2,57,4,4,4,4,1,0,5,1,7,1.64051357977012E-303,0,0,2,5,3,5,5,3,4,3,1,5,5,3,5,1,1,5,4,5,5,5,5,1,5,1,5,1,4,3,1,-99,-99,1,1,66,1.64051357976954E-303,1.64051357977013E-303,1,1,1,1,2,1,1,,3,1,-99,4,1,0,2,24,0.53333,21,0.46667,,,,,25,0.55556,0,0,20,0.44444,0,0,0,0,2,0.04444,1,0.02222,6,0.13333,18,0.4,13,0.28889,2,0.04444,2,0.04444,1,0.02222,0,0,,,,,,,28,0.62222,8,0.17778,0,0,4,0.08889,5,0.11111,0,0,4,0.08889,0,0,0,0,0,0,3,0.06667,0,0,0,0,0,0,2,0.04444,6,0.13333,,,,,14,0.31111,0,0,9,0.2,1,0.02222,2,0.04444,0,0,19,0.42222,0,0,4,0.08889,4,0.08889,9,0.2,2,0.04444,0,0,4,0.08889,1,0.02222,0,0,18,0.4,0,0,0,0,3,0.06667,0,0,41,0.91111,0,0,0,0,0,0,0,0,0,0,,,,,6,0.13333,39,0.86667,40,0.88889,0,0,8.58586,32,250.36,3600,1.48,21.55,8,1,2,0.08586,92.22222,6912.15286,20.33512,1,0.85,rc1cs,,,,,2,5,4,,,,,,,,,,,,,,,,,0,0,5,0.11111,4,1.64051357977012E-303,1.64051357977013E-303,,-99,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,38,0.84444,4,0.08889,0,0,0,0,0,0,,,,,7,0.15556,38,0.84444,,,,,,,,,,,,,,,,,9,9,9,,us,,,,,,,30,0.66667,0,0,0,0,0,0
